tpc,policy,isr_mean,isr_std,n_eval
1,HDM,0.7650,0.1737,200
1,AC,0.7310,0.1955,200
1,PPO,0.7510,0.1806,200
1,SAC,0.7690,0.1626,200
1,Static,0.7120,0.1807,200
2,HDM,0.5675,0.1385,200
2,AC,0.3795,0.1369,200
2,PPO,0.3695,0.1497,200
2,SAC,0.3640,0.1460,200
2,Static,0.3440,0.1444,200
4,HDM,0.3987,0.0949,200
4,AC,0.1165,0.0660,200
4,PPO,0.1623,0.0807,200
4,SAC,0.1757,0.0822,200
4,Static,0.1237,0.0661,200
10,HDM,0.1411,0.0472,200
10,AC,0.0929,0.0368,200
10,PPO,0.0936,0.0330,200
10,SAC,0.0941,0.0336,200
10,Static,0.0888,0.0313,200
